序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
1,臺北市,2014/12/31,中山,-,-,-,-,27,-,-,-,-,-,-,-
2,臺北市,2014/12/31,中山,4.3,1.01,18.9,73.0,-,58,20.37,37.8,1.86,17.43,-,63.87
3,臺北市,2014/12/30,中山,-,-,-,-,33,-,-,-,-,-,-,-
4,臺北市,2014/12/30,中山,3.4,0.86,24.7,90.0,-,51,13.79,37.46,1.98,16.44,-,60.86
5,臺北市,2014/12/29,中山,-,-,-,-,34,-,-,-,-,-,-,-
6,臺北市,2014/12/29,中山,4.8,0.92,19.8,86.0,-,55,18.76,36.64,1.45,15.2,-,64.32
7,臺北市,2014/12/28,中山,-,-,-,-,16,-,-,-,-,-,-,-
8,臺北市,2014/12/28,中山,2.4,0.58,21.9,38.0,-,34,7.48,26.71,1.42,15.5,-,88.63
9,臺北市,2014/12/27,中山,-,-,-,-,15,-,-,-,-,-,-,-
10,臺北市,2014/12/27,中山,1.3,0.52,22.3,49.0,-,34,8.64,25.37,2.37,16.93,-,84.27
11,臺北市,2014/12/26,中山,-,-,-,-,19,-,-,-,-,-,-,-
12,臺北市,2014/12/26,中山,2.6,0.56,23.6,64.0,-,36,10.92,24.58,2.77,17.15,-,72.84
13,臺北市,2014/12/25,中山,-,-,-,-,36,-,-,-,-,-,-,-
14,臺北市,2014/12/25,中山,3.8,0.84,24.5,89.0,-,44,12.2,31.99,2.09,17.72,-,72.27
15,臺北市,2014/12/24,中山,-,-,-,-,32,-,-,-,-,-,-,-
16,臺北市,2014/12/24,中山,1.7,0.9,20.9,79.0,-,49,17.19,32.07,1.85,19.52,-,68.22
17,臺北市,2014/12/23,中山,-,-,-,-,32,-,-,-,-,-,-,-
18,臺北市,2014/12/23,中山,6.3,1.27,16.1,85.0,-,78,36.88,40.89,1.78,18.8,-,56.37
19,臺北市,2014/12/22,中山,-,-,-,-,34,-,-,-,-,-,-,-
20,臺北市,2014/12/22,中山,5.4,0.66,25.0,99.0,-,35,10.23,24.84,2.69,14.18,-,57.94
21,臺北市,2014/12/21,中山,-,-,-,-,24,-,-,-,-,-,-,-
22,臺北市,2014/12/21,中山,3.4,0.52,30.2,73.0,-,26,5.1,21.26,1.9,15.97,-,69.89
23,臺北市,2014/12/20,中山,-,-,-,-,21,-,-,-,-,-,-,-
24,臺北市,2014/12/20,中山,1.0,0.62,21.0,65.0,-,37,8.5,28.35,2.06,16.56,-,69.1
25,臺北市,2014/12/19,中山,-,-,-,-,17,-,-,-,-,-,-,-
26,臺北市,2014/12/19,中山,6.3,1.27,9.9,62.0,-,86,47.17,38.34,1.57,17.46,-,78.13
27,臺北市,2014/12/18,中山,-,-,-,-,15,-,-,-,-,-,-,-
28,臺北市,2014/12/18,中山,3.9,0.57,18.2,68.0,-,38,12.65,25.46,2.35,15.99,-,59.48
29,臺北市,2014/12/17,中山,-,-,-,-,20,-,-,-,-,-,-,-
30,臺北市,2014/12/17,中山,4.9,0.52,22.4,98.0,-,32,9.14,22.89,1.99,12.4,-,53.49
31,臺北市,2014/12/16,中山,-,-,-,-,33,-,-,-,-,-,-,-
32,臺北市,2014/12/16,中山,4.7,0.75,20.3,105.0,-,38,10.01,28.07,1.72,15.53,-,64.2
33,臺北市,2014/12/15,中山,-,-,-,-,22,-,-,-,-,-,-,-
34,臺北市,2014/12/15,中山,5.7,1.18,9.7,63.0,-,67,30.15,36.48,1.1,19.32,-,77.21
35,臺北市,2014/12/14,中山,-,-,-,-,17,-,-,-,-,-,-,-
36,臺北市,2014/12/14,中山,3.0,0.5,22.3,63.0,-,28,5.61,22.76,2.56,17.24,-,68.41
37,臺北市,2014/12/13,中山,-,-,-,-,28,-,-,-,-,-,-,-
38,臺北市,2014/12/13,中山,4.4,0.57,24.8,107.0,-,31,7.57,23.4,2.31,14.87,-,58.78
39,臺北市,2014/12/12,中山,-,-,-,-,24,-,-,-,-,-,-,-
40,臺北市,2014/12/12,中山,2.3,0.76,18.2,76.0,-,38,12.65,25.53,1.63,14.89,-,75.02
41,臺北市,2014/12/11,中山,-,-,-,-,13,-,-,-,-,-,-,-
42,臺北市,2014/12/11,中山,1.4,0.91,10.1,42.0,-,43,16.77,25.82,1.94,18.57,-,81.1
43,臺北市,2014/12/10,中山,-,-,-,-,18,-,-,-,-,-,-,-
44,臺北市,2014/12/10,中山,4.7,0.93,16.6,47.0,-,48,17.86,29.89,1.51,21.36,-,85.17
45,臺北市,2014/12/09,中山,-,-,-,-,22,-,-,-,-,-,-,-
46,臺北市,2014/12/09,中山,3.3,0.59,25.9,68.0,-,32,8.72,23.61,2.72,19.05,-,82.79
47,臺北市,2014/12/08,中山,-,-,-,-,23,-,-,-,-,-,-,-
48,臺北市,2014/12/08,中山,2.8,0.65,26.1,58.0,-,31,7.86,23.4,2.2,18.09,-,82.78
49,臺北市,2014/12/07,中山,-,-,-,-,18,-,-,-,-,-,-,-
50,臺北市,2014/12/07,中山,2.4,0.5,26.6,53.0,-,30,7.42,22.69,2.45,20.59,-,61.04
51,臺北市,2014/12/06,中山,-,-,-,-,16,-,-,-,-,-,-,-
52,臺北市,2014/12/06,中山,2.0,0.45,27.4,60.0,-,26,5.41,20.29,2.88,17.08,-,58.22
53,臺北市,2014/12/05,中山,-,-,-,-,28,-,-,-,-,-,-,-
54,臺北市,2014/12/05,中山,4.6,0.69,21.7,92.0,-,38,11.23,26.59,2.16,15.36,-,58.7
55,臺北市,2014/12/04,中山,-,-,-,-,21,-,-,-,-,-,-,-
56,臺北市,2014/12/04,中山,3.6,0.8,13.1,57.0,-,47,16.26,30.46,1.8,15.68,-,77.49
57,臺北市,2014/12/03,中山,-,-,-,-,11,-,-,-,-,-,-,-
58,臺北市,2014/12/03,中山,4.1,0.83,19.8,55.0,-,48,21.04,27.19,2.13,21.75,-,66.97
