序號,縣市,監測日期,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","相對濕度<br />RH<br />(percent)"
1,臺北市,2018/12/31,中山,1.7,0.36,25.6,10.0,7,19,3.4,15.25,1.92,0.091,1.828,2.22,1.83,16.46,93.42
2,臺北市,2018/12/30,中山,0.9,0.36,27.1,15.0,7,19,3.74,15.16,1.91,0.085,1.823,2.5,2.09,15.2,90.52
3,臺北市,2018/12/29,中山,1.1,0.42,25.2,23.0,8,22,4.79,17.07,1.92,0.103,1.821,2.29,1.76,13.98,81.11
4,臺北市,2018/12/28,中山,1.1,0.51,24.4,21.0,9,26,6.84,19.57,1.96,0.122,1.833,2.39,1.8,15.16,84.71
5,臺北市,2018/12/27,中山,1.3,0.49,21.6,16.0,9,28,6.73,20.91,1.97,0.131,1.834,1.8,1.33,17.85,87.95
6,臺北市,2018/12/26,中山,1.5,0.7,13.4,24.0,9,38,12.55,25.84,2.14,0.234,1.91,1.17,0.86,20.47,93.75
7,臺北市,2018/12/25,中山,4.1,0.67,17.6,21.0,9,38,14.56,23.23,2.08,0.195,1.887,2.14,1.88,21.19,92.12
8,臺北市,2018/12/24,中山,2.3,0.47,27.6,16.0,6,25,5.38,19.85,1.92,0.115,1.806,2.76,2.27,17.46,93.12
9,臺北市,2018/12/23,中山,1.4,0.54,19.7,24.0,10,26,4.94,20.86,2.06,0.144,1.91,1.93,1.52,20.83,90.78
10,臺北市,2018/12/22,中山,5.3,0.88,21.2,59.0,27,52,18.55,33.12,2.31,0.304,2.008,1.27,0.89,23.25,78.53
11,臺北市,2018/12/21,中山,3.4,0.67,16.3,41.0,18,42,13.36,28.35,2.12,0.221,1.903,1.91,1.56,22.39,74.72
12,臺北市,2018/12/20,中山,3.2,0.78,22.6,46.0,18,48,11.27,36.35,2.19,0.251,1.935,1.31,0.85,21.07,64.33
13,臺北市,2018/12/19,中山,1.6,0.57,32.3,40.0,14,34,8.65,25.44,2.03,0.171,1.859,1.82,1.51,20.54,60.17
14,臺北市,2018/12/18,中山,3.3,0.57,27.0,50.0,17,40,10.18,29.94,2.06,0.177,1.879,2.2,1.79,17.38,62.48
15,臺北市,2018/12/17,中山,1.8,0.63,28.0,48.0,18,32,7.77,24.33,2.03,0.157,1.871,1.59,1.02,16.61,66.54
16,臺北市,2018/12/16,中山,2.9,0.57,18.2,33.0,15,29,7.78,20.79,2.12,0.184,1.934,1.33,0.93,20.52,82.48
17,臺北市,2018/12/15,中山,1.0,0.39,26.4,20.0,8,22,5.43,16.57,1.89,0.102,1.787,2.82,2.31,19.4,85.79
18,臺北市,2018/12/14,中山,1.8,0.48,26.0,17.0,10,26,6.85,19.49,1.9,0.109,1.79,2.77,2.41,17.73,91.52
19,臺北市,2018/12/13,中山,2.3,0.58,19.3,25.0,15,30,8.72,21.69,1.97,0.138,1.835,2.55,2.16,17.1,90.03
